Row Number,Average Rule Length
2,"3,0"
3,"3,0"
4,"3,0"
8,"5,0"
9,"6,0"
10,"3,0"
11,"3,0"
14,"4,0"
15,"3,0"
16,"3,0"
17,"3,0"
18,"3,0"
20,"4,0"
21,"3,0"
22,"4,0"
23,"4,0"
24,"3,0"
25,"3,0"
26,"5,0"
27,"3,0"
28,"3,0"
31,"3,0"
36,"3,0"
41,"5,0"
42,"5,0"
43,"3,0"
44,"3,0"
45,"3,0"
53,"3,0"
54,"4,0"
55,"3,0"
56,"3,0"
57,"3,0"
58,"5,0"
60,"6,0"
61,"3,0"
62,"3,0"
63,"3,0"
66,"5,0"
69,"3,0"
71,"3,0"
72,"3,0"
73,"3,0"
76,"4,0"
79,"3,0"
81,"5,0"
84,"4,0"
85,"4,0"
86,"3,0"
87,"6,0"
91,"3,0"
95,"3,0"
96,"3,0"
97,"3,0"
99,"5,0"
100,"5,0"
102,"3,0"
103,"3,0"
104,"3,0"
105,"5,0"
109,"3,0"
110,"4,0"
111,"3,0"
112,"3,0"
113,"3,0"
114,"4,5"
115,"4,0"
116,"4,0"
118,"3,0"
119,"3,0"
120,"3,0"
121,"6,0"
129,"4,0"
130,"6,0"
131,"6,0"
134,"4,5"
137,"3,0"
138,"5,0"
140,"3,0"
143,"3,0"
145,"5,0"
147,"5,0"
148,"5,0"
