Row Number,Average Rule Length
2,"2,0"
3,"2,0"
4,"2,0"
8,"3,0"
9,"3,5"
10,"2,0"
11,"2,0"
14,"2,5"
15,"2,0"
16,"2,0"
17,"2,0"
18,"2,0"
20,"2,5"
21,"2,0"
22,"2,5"
23,"2,5"
24,"2,0"
25,"2,0"
26,"3,0"
27,"2,0"
28,"2,0"
31,"2,0"
36,"2,0"
41,"3,0"
42,"3,0"
43,"2,0"
44,"2,0"
45,"2,0"
53,"2,0"
54,"2,5"
55,"2,0"
56,"2,0"
57,"2,0"
58,"3,0"
60,"3,5"
61,"2,0"
62,"2,0"
63,"2,0"
66,"3,0"
69,"2,0"
71,"2,0"
72,"2,0"
73,"2,0"
76,"2,5"
79,"2,0"
81,"3,0"
84,"2,5"
85,"2,5"
86,"2,0"
87,"3,5"
91,"2,0"
95,"2,0"
96,"2,0"
97,"2,0"
99,"3,0"
100,"3,0"
102,"2,0"
103,"2,0"
104,"2,0"
105,"3,0"
109,"2,0"
110,"2,5"
111,"2,0"
112,"2,0"
113,"2,0"
114,"2,75"
115,"2,5"
116,"2,5"
118,"2,0"
119,"2,0"
120,"2,0"
121,"3,5"
129,"2,5"
130,"3,5"
131,"3,5"
134,"2,75"
137,"2,0"
138,"3,0"
140,"2,0"
143,"2,0"
145,"3,0"
147,"3,0"
148,"3,0"
