Order,Length_1
1,9
2,7
3,10
4,9
5,9
6,9
7,7
8,7
9,7
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,11
20,10
21,10
22,9
23,8
24,4
25,9
26,9
27,9
28,7
29,7
30,8
31,10
32,8
33,11
34,7
35,11
36,11
37,11
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,11
46,8
47,11
48,11
49,11
50,11
51,5
52,5
53,5
54,9
55,9
56,9
57,9
58,9
59,7
60,6
61,7
62,7
63,9
64,7
65,7
66,7
67,7
68,7
69,7
70,5
71,5
72,5
73,5
74,5
75,5
76,11
77,11
78,11
79,4
80,10
81,9
82,11
83,8
84,10
85,4
86,12
87,8
88,4
89,4
90,4
91,4
92,4
93,4
94,4
95,8
96,4
97,4
98,4
99,4
100,8
101,4
102,10
103,10
104,7
105,5
106,5
107,5
108,5
109,5
110,10
111,9
112,5
113,5
114,11
115,11
116,7
117,6
118,6
119,5
120,5
121,12
122,9
123,6
124,5
125,5
126,5
127,5
128,5
129,6
130,9
131,6
132,6
133,4
134,4
135,6
136,6
137,5
138,5
139,5
140,5
141,11
142,6
143,4
144,6
145,9
146,9
147,4
148,4
149,4
150,6
151,4
152,4
153,4
154,4
155,4
156,6
157,4
158,4
159,9
160,6
161,11
162,10
163,12
164,4
165,6
166,4
167,4
168,9
169,4
170,4
171,4
172,4
173,4
174,4
175,4
176,4
177,11
178,4
179,4
180,4
181,4
182,4
183,4
184,4
185,4
186,11
187,4
188,6
189,8
190,8
191,7
192,6
193,6
194,9
195,8
196,6
197,6
198,7
199,8
200,7
201,6
202,8
203,5
204,5
205,5
206,6
207,8
208,6
209,6
210,5
211,5
212,6
213,9
214,6
215,8
216,5
217,6
218,5
219,5
220,5
221,6
222,6
223,8
224,11
225,11
226,7
227,5
228,5
229,5
230,5
231,5
232,10
233,9
234,4
235,4
236,10
237,5
238,5
239,4
240,4
241,6
242,9
243,4
244,4
245,4
246,9
247,4
248,9
249,10
250,8
251,8
252,9
253,11
254,9
255,9
256,4
257,4
258,4
259,6
260,4
261,4
262,4
263,4
264,4
265,4
266,4
267,9
268,4
269,4
270,4
271,4
272,4
273,4
274,4
275,10
276,9
277,9
278,11
279,7
280,8
281,10
282,7
283,7
284,5
285,5
286,8
287,10
288,5
289,5
290,5
291,9
292,9
293,5
294,5
295,9
296,10
297,10
298,4
299,15
300,7
301,10
302,7
303,7
304,15
305,10
306,10
307,4
308,4
309,10
310,6
311,6
312,6
313,6
314,11
315,11
316,4
317,4
318,10
319,10
320,8
321,8
322,7
323,8
324,6
325,7
326,7
327,7
328,8
329,9
330,8
331,8
332,7
333,7
334,7
335,9
336,7
337,7
338,8
339,7
340,7
341,8
342,7
343,7
344,8
345,7
346,7
347,7
348,7
349,7
350,10
351,10
352,12
353,7
354,8
355,10
356,12
357,8
358,8
359,12
360,6
361,6
362,6
363,11
364,11
365,8
366,7
367,7
368,6
369,6
370,6
371,7
372,10
373,12
374,6
375,6
376,7
377,4
378,4
379,10
380,6
381,6
382,10
383,6
384,6
385,6
386,12
387,10
388,6
389,4
390,6
391,6
392,6
393,6
394,7
395,6
396,6
397,6
398,6
399,7
400,6
401,6
402,4
403,4
404,6
405,6
406,6
407,6
408,6
409,6
410,7
411,7
412,6
413,7
414,6
415,6
416,7
417,5
418,9
419,6
420,6
421,7
422,6
423,7
424,7
425,7
426,7
427,6
428,9
429,4
430,4
431,9
432,12
433,14
434,9
435,7
436,10
437,10
438,11
439,14
440,4
441,4
442,8
443,10
444,10
445,11
446,15
447,9
448,6
449,6
450,6
451,11
452,11
453,4
454,4
455,4
456,6
457,10
458,10
459,8
460,6
461,7
462,7
463,8
464,8
465,7
466,10
467,7
468,7
469,10
470,7
471,12
472,7
473,7
474,7
475,7
476,7
477,7
478,7
479,7
480,8
481,7
482,8
483,7
484,6
485,5
486,5
487,5
488,5
489,10
490,10
491,4
492,4
493,10
494,5
495,5
496,4
497,4
498,5
499,5
500,4
501,5
502,4
503,5
504,4
505,4
506,5
507,4
508,4
509,10
510,4
511,5
512,4
513,4
514,4
515,5
516,12
517,10
518,12
519,5
520,5
521,5
522,11
523,10
524,5
525,5
526,12
527,6
528,7
529,7
530,7
531,6
532,7
533,4
534,6
535,6
536,7
537,6
538,6
539,5
540,5
541,10
542,6
543,6
544,4
545,4
546,10
547,6
548,6
549,6
550,5
551,7
552,6
553,5
554,5
555,5
556,6
557,7
558,4
559,4
560,6
561,6
562,6
563,4
564,5
565,4
566,4
567,5
568,4
569,4
570,11
571,4
572,4
573,4
574,4
575,10
576,4
577,7
578,7
579,6
580,6
581,6
582,7
583,7
584,5
585,7
586,6
587,7
588,5
589,13
590,4
591,14
592,9
593,5
594,5
595,5
596,11
597,10
598,4
599,4
600,4
601,10
602,10
603,5
604,5
605,13
606,4
607,4
608,10
609,5
610,5
611,4
612,4
613,4
614,5
615,12
616,4
617,11
618,4
619,12
620,4
621,7
622,7
623,7
624,7
625,5
626,7
627,4
628,4
629,12
630,9
631,10
632,6
633,9
634,6
635,6
636,9
637,11
638,11
639,4
640,4
641,4
642,6
643,5
644,6
645,6
646,7
647,7
648,4
649,11
650,4
651,4
652,6
653,5
654,9
655,6
656,7
657,6
658,6
659,4
660,4
661,10
662,11
663,7
664,9
665,7
666,6
667,9
668,7
669,7
670,6
671,10
672,7
673,12
674,6
675,6
676,10
677,7
678,6
679,10
680,6
681,7
682,7
683,7
684,11
685,10
686,6
687,6
688,7
689,6
690,7
691,4
692,9
693,5
694,5
695,10
696,4
697,5
698,11
699,5
700,6
701,10
702,5
703,6
704,5
705,6
706,12
707,11
708,9
709,9
710,7
711,7
712,10
713,7
714,7
715,7
716,10
717,11
718,4
719,4
720,8
721,5
722,10
723,11
724,10
725,12
726,4
727,4
728,10
729,4
730,4
731,8
732,5
733,12
734,4
735,8
736,8
737,7
738,6
739,8
740,9
741,10
742,3
743,3
744,3
745,3
746,3
747,3
748,3
749,9
750,12
751,14
752,10
753,11
754,15
755,3
756,3
757,3
758,3
759,7
760,7
761,3
762,9
763,8
764,10
765,10
766,8
767,11
768,13
769,3
770,3
771,3
772,3
773,3
774,3
775,4
776,3
777,3
778,5
779,3
780,3
781,9
782,4
783,9
784,10
785,3
786,9
787,3
788,3
789,3
790,3
791,3
792,3
793,10
794,11
795,10
796,3
797,8
798,7
799,7
800,7
801,3
802,3
803,3
804,3
805,3
806,3
807,3
808,7
809,9
810,10
811,3
812,5
813,5
814,5
815,8
816,5
817,5
818,5
819,5
820,5
821,3
822,5
823,8
824,8
825,5
826,5
827,5
828,5
829,5
830,5
831,5
832,5
833,5
834,5
835,5
836,8
837,5
838,5
839,5
840,5
841,5
842,5
843,5
844,5
845,5
846,5
847,5
848,3
849,5
850,9
851,3
852,3
853,3
854,3
855,3
856,3
857,13
858,11
859,12
860,13
861,10
862,3
863,8
864,8
865,3
866,3
867,3
868,4
869,3
870,8
871,9
872,3
873,3
874,3
875,11
876,10
877,10
878,8
879,3
880,13
881,3
882,9
883,15
884,3
885,7
886,3
887,7
888,3
889,7
890,13
891,10
892,4
893,4
894,3
895,5
896,3
897,3
898,11
899,3
900,8
901,4
902,4
903,8
904,4
905,3
906,5
907,12
908,4
909,8
910,7
911,3
912,6
913,9
914,12
915,3
916,3
917,8
918,3
919,7
920,3
921,7
922,4
923,5
924,8
925,3
926,5
927,8
928,5
929,8
930,9
931,3
932,7
933,7
934,15
935,4
936,4
937,3
938,5
939,12
940,4
941,4
942,12
943,11
944,6
945,5
946,10
947,7
948,10
949,10
950,8
951,9
952,12
953,10
954,10
955,8
956,5
957,9
958,11
