Order,Length_1
1,8
2,7
3,11
4,7
5,8
6,7
7,10
8,7
9,9
10,5
11,8
12,3
13,3
14,8
15,5
16,5
17,3
18,3
19,5
20,8
21,3
22,11
23,7
24,4
25,7
26,10
27,6
28,6
29,6
30,6
31,10
32,6
33,9
34,6
35,5
36,10
37,3
38,3
39,3
40,5
41,5
42,3
43,3
44,3
45,3
46,8
47,5
48,5
49,3
50,3
51,5
52,8
53,3
54,7
55,7
56,13
57,8
58,7
59,7
60,6
61,7
62,9
63,7
64,9
65,7
66,8
67,7
68,13
69,7
70,3
71,9
72,5
73,5
74,3
75,3
76,5
77,8
78,3
79,4
80,8
81,7
82,8
83,8
84,8
85,4
86,8
87,8
88,4
89,4
90,4
91,4
92,4
93,4
94,4
95,8
96,4
97,4
98,4
99,4
100,7
101,4
102,8
103,7
104,9
105,3
106,5
107,5
108,3
109,3
110,8
111,5
112,9
113,5
114,3
115,5
116,7
117,7
118,7
119,3
120,3
121,3
122,3
123,5
124,3
125,3
126,3
127,5
128,3
129,3
130,3
131,5
132,3
133,4
134,4
135,5
136,3
137,3
138,3
139,5
140,3
141,3
142,5
143,4
144,5
145,8
146,7
147,4
148,4
149,4
150,7
151,4
152,4
153,4
154,4
155,4
156,7
157,4
158,4
159,8
160,6
161,5
162,8
163,7
164,4
165,7
166,4
167,4
168,7
169,4
170,4
171,4
172,4
173,4
174,4
175,4
176,4
177,5
178,4
179,4
180,4
181,4
182,4
183,4
184,4
185,4
186,5
187,4
188,5
189,8
190,3
191,3
192,3
193,5
194,3
195,3
196,5
197,6
198,7
199,7
200,7
201,7
202,3
203,3
204,3
205,3
206,3
207,3
208,5
209,3
210,3
211,3
212,3
213,5
214,3
215,5
216,3
217,5
218,3
219,5
220,3
221,5
222,3
223,5
224,8
225,7
226,9
227,3
228,3
229,3
230,5
231,3
232,3
233,5
234,4
235,4
236,5
237,3
238,5
239,4
240,4
241,7
242,8
243,4
244,4
245,4
246,8
247,4
248,8
249,6
250,8
251,7
252,8
253,7
254,8
255,8
256,4
257,4
258,4
259,7
260,4
261,4
262,4
263,4
264,4
265,4
266,4
267,5
268,4
269,4
270,4
271,4
272,4
273,4
274,4
275,5
276,3
277,5
278,9
279,7
280,7
281,7
282,11
283,7
284,3
285,3
286,3
287,5
288,3
289,5
290,3
291,5
292,3
293,5
294,3
295,5
296,3
297,7
298,4
299,3
300,3
301,3
302,3
303,3
304,3
305,3
306,3
307,4
308,4
309,3
310,3
311,3
312,9
313,3
314,3
315,7
316,4
317,4
318,7
319,7
320,7
321,8
322,7
323,9
324,8
325,10
326,11
327,7
328,8
329,5
330,11
331,10
332,9
333,10
