Order,Length_1
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,3
11,7
12,5
13,5
14,7
15,3
16,3
17,3
18,5
19,3
20,7
21,5
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,3
36,7
37,5
38,3
39,5
40,3
41,3
42,5
43,3
44,3
45,5
46,7
47,3
48,3
49,3
50,5
51,3
52,7
53,5
54,4
55,4
56,4
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,5
71,7
72,3
73,3
74,3
75,5
76,3
77,7
78,5
79,3
80,5
81,5
82,5
83,5
84,5
85,3
86,10
87,10
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,10
96,3
97,3
98,3
99,3
100,7
101,3
102,5
103,5
104,5
105,5
106,3
107,3
108,5
109,3
110,7
111,3
112,7
113,3
114,5
115,3
116,11
117,6
118,6
119,3
120,5
121,5
122,5
123,3
124,5
125,3
126,3
127,3
128,3
129,3
130,5
131,3
132,3
133,11
134,8
135,3
136,3
137,3
138,5
139,3
140,3
141,5
142,3
143,6
144,3
145,7
146,8
147,3
148,3
149,3
150,7
151,3
152,3
153,3
154,3
155,3
156,7
157,3
158,3
159,5
160,5
161,5
162,5
163,5
164,3
165,7
166,3
167,3
168,9
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,3
177,7
178,3
179,3
180,3
181,3
182,3
183,3
184,3
185,3
186,7
187,3
188,3
189,8
190,5
191,3
192,5
193,3
194,3
195,5
196,3
197,5
198,5
199,5
200,5
201,5
202,5
203,5
204,3
205,3
206,3
207,5
208,3
209,3
210,3
211,3
212,3
213,3
214,3
215,7
216,3
217,3
218,3
219,3
220,3
221,3
222,3
223,7
224,10
225,6
226,11
227,5
228,3
229,5
230,3
231,3
232,5
233,3
234,9
235,8
236,3
237,5
238,3
239,10
240,3
241,12
242,10
243,3
244,3
245,3
246,10
247,3
248,5
249,5
250,5
251,5
252,5
253,5
254,5
255,10
256,3
257,3
258,3
259,10
260,3
261,3
262,3
263,3
264,3
265,3
266,3
267,7
268,3
269,3
270,3
271,3
272,3
273,3
274,3
275,7
276,5
277,3
278,5
279,5
280,5
281,5
282,5
283,5
284,3
285,5
286,5
287,3
288,3
289,3
290,3
291,3
292,3
293,3
294,3
295,3
296,4
297,7
298,7
299,4
300,4
301,4
302,4
303,4
304,4
305,4
306,4
307,12
308,13
309,4
310,4
311,4
312,7
313,4
314,4
315,7
316,7
317,6
318,10
319,13
320,11
321,14
322,5
323,5
324,7
325,11
326,5
327,5
328,7
329,8
330,11
331,5
332,11
333,5
334,7
335,8
336,12
337,5
338,6
339,5
340,6
341,6
342,6
343,5
344,6
345,6
346,9
347,7
348,4
349,7
350,4
351,7
352,4
353,4
354,4
355,4
356,4
357,9
358,4
359,7
360,4
361,8
362,4
363,7
364,4
365,6
366,4
367,7
368,8
369,7
370,4
371,4
372,4
