Order,Length_1
1,4
2,6
3,5
4,5
5,5
6,8
7,6
8,6
9,5
10,6
11,7
12,6
13,6
14,6
15,4
16,6
17,7
18,6
19,6
21,6
22,8
23,6
24,6
25,5
26,6
27,6
28,6
29,6
30,7
31,8
32,7
33,5
34,6
35,6
36,6
37,3
38,5
39,8
40,4
41,6
42,5
43,6
45,5
46,7
47,6
48,5
49,6
50,6
51,7
52,4
53,10
54,6
55,6
57,6
58,4
59,5
61,5
62,6
63,6
64,6
65,6
66,5
67,5
68,7
69,8
70,5
71,6
72,4
73,8
74,7
75,8
76,7
77,6
78,7
79,4
81,4
82,6
83,5
84,5
85,6
86,6
87,6
88,6
89,7
91,4
92,6
93,4
94,8
95,5
96,6
97,6
98,7
99,6
100,6
101,6
102,6
103,5
104,7
105,8
106,5
107,6
108,5
109,6
111,7
112,5
113,5
114,7
115,6
116,11
117,8
118,6
119,5
120,7
121,9
122,11
123,7
124,7
126,5
127,6
129,4
130,6
131,6
132,5
133,5
135,4
136,4
137,5
138,5
139,6
140,3
141,6
142,8
143,6
144,6
145,7
146,5
147,6
148,4
