Order,Length_1
1,4
4,7
5,8
6,8
7,6
8,6
9,5
10,4
11,7
12,6
13,6
14,4
15,4
16,6
17,7
18,6
19,4
20,6
21,4
22,7
23,6
24,6
25,4
26,10
27,7
28,4
29,6
30,8
31,8
32,4
33,8
34,6
35,6
36,6
37,3
38,7
39,7
40,5
41,4
42,5
43,6
45,5
46,4
49,6
50,6
51,5
52,4
53,8
54,6
55,6
57,4
58,4
59,5
61,4
62,6
63,4
64,6
65,6
66,4
67,7
68,7
69,8
70,4
71,6
72,7
73,8
74,7
75,7
76,7
77,6
78,5
79,4
81,4
82,6
83,4
84,5
85,7
86,6
87,6
88,6
89,7
90,4
91,4
92,6
93,4
94,8
95,4
96,4
97,6
98,7
99,6
100,6
101,8
102,6
103,6
104,7
105,6
106,5
108,5
109,6
111,8
112,7
113,8
114,4
115,4
116,4
117,4
118,6
119,4
120,7
121,10
122,8
123,7
124,9
126,4
127,6
128,6
129,5
130,6
131,6
132,5
133,4
135,4
136,4
137,6
139,6
140,3
142,4
143,6
144,6
145,5
146,5
147,4
148,4
