Order,Length_1
1,4
2,6
3,5
4,5
5,5
6,8
7,6
8,7
9,5
10,10
11,6
12,6
13,7
14,5
15,4
16,6
17,6
18,6
19,5
20,6
21,6
22,8
24,7
25,5
26,10
27,9
28,5
29,6
30,8
31,7
32,6
33,6
34,6
35,6
37,9
38,5
39,11
40,4
41,6
42,5
43,6
45,5
46,8
47,6
48,5
49,6
50,6
51,5
52,4
53,10
54,6
55,6
56,6
57,8
58,4
59,5
61,5
62,6
63,6
64,6
66,5
67,5
68,6
69,6
70,5
71,6
72,4
73,7
74,6
75,6
76,6
77,6
78,9
79,4
81,4
82,6
83,5
84,5
85,8
86,7
88,6
89,8
91,4
92,6
93,4
94,5
95,5
96,6
97,6
98,8
99,6
100,6
102,6
103,5
104,6
105,8
106,5
107,6
108,5
109,7
111,9
112,5
114,8
115,5
116,10
117,5
118,6
119,5
120,7
121,9
122,9
124,11
125,6
126,5
127,6
129,4
130,6
131,6
132,5
133,5
134,6
135,4
136,4
137,5
138,5
139,6
140,3
141,6
142,5
143,6
144,6
145,5
146,5
147,5
148,4
