Order,Length_1
1,6
2,7
3,8
4,8
5,8
6,6
7,8
8,7
9,6
10,8
11,7
12,6
13,6
14,7
15,8
16,8
17,8
18,6
19,8
20,7
21,6
22,7
23,8
24,8
25,8
26,8
27,7
28,8
29,6
30,7
31,8
32,8
33,8
34,8
35,8
36,8
37,7
38,8
39,6
40,9
41,8
42,8
43,8
44,8
45,6
46,7
47,8
48,8
49,8
50,6
51,5
52,7
53,6
54,5
55,8
56,8
57,5
58,6
59,4
60,4
61,7
62,5
63,4
64,6
65,7
66,5
67,4
68,5
69,6
70,6
71,7
72,5
73,4
74,5
75,6
76,5
77,7
78,6
79,9
80,12
81,7
82,7
83,7
84,9
85,7
86,9
87,12
88,9
89,9
90,7
91,12
92,11
93,11
94,8
95,5
96,9
97,10
98,9
99,7
100,10
101,8
102,11
103,6
104,6
105,6
106,9
107,9
108,8
109,12
110,7
111,9
112,7
113,5
114,6
115,10
116,7
117,10
118,6
119,10
120,6
121,6
122,9
123,11
124,9
125,10
126,11
127,12
128,9
129,13
130,6
131,9
132,11
133,7
134,9
135,9
136,11
137,10
138,6
139,4
140,12
141,6
142,6
143,4
144,6
145,8
146,10
147,12
148,12
149,6
150,5
151,6
152,6
153,8
154,6
155,6
156,8
157,10
158,6
159,8
160,7
161,6
162,6
163,6
164,6
165,8
166,6
167,6
168,8
169,6
170,6
171,9
172,9
173,7
174,6
175,6
176,6
177,7
178,6
179,11
180,9
181,6
182,6
183,6
184,9
185,6
186,6
187,6
188,14
189,6
190,6
191,10
192,6
193,9
194,11
195,6
196,13
197,6
198,9
199,10
200,7
201,10
202,6
203,7
204,10
205,10
206,13
207,6
208,9
209,11
210,12
211,10
212,14
213,7
214,9
215,6
216,6
217,6
218,11
219,4
220,4
221,4
222,12
223,4
224,8
225,6
226,6
227,6
228,12
229,6
230,10
231,11
232,6
233,7
234,10
235,7
236,7
237,6
238,5
239,5
240,8
241,9
242,5
243,6
244,11
245,6
246,8
247,11
248,6
249,8
250,6
251,6
252,8
253,6
254,6
255,8
256,6
257,6
258,6
259,8
260,11
261,9
262,6
263,6
264,6
265,10
266,6
267,6
268,6
269,9
270,6
271,8
272,6
273,12
274,6
275,6
276,6
277,8
278,7
279,7
280,8
281,7
282,7
283,6
284,8
285,6
286,6
287,7
288,10
289,12
290,12
291,10
292,7
293,4
294,5
295,5
296,9
297,8
298,9
299,9
300,11
301,14
302,11
303,10
304,11
305,8
306,10
307,9
308,9
309,9
310,5
311,9
312,4
313,11
314,8
315,10
316,4
317,5
318,5
319,9
320,8
321,7
322,12
323,6
324,6
325,7
326,7
327,10
328,9
329,7
330,7
331,8
332,7
333,7
334,7
335,8
336,7
337,11
338,7
339,7
340,7
341,11
342,10
343,7
344,7
345,7
346,11
347,11
348,12
349,9
350,12
351,10
352,12
353,9
354,9
355,7
356,8
357,6
358,6
359,11
360,8
361,4
362,4
363,4
364,12
365,4
366,12
367,7
368,9
369,12
370,14
371,10
372,7
373,14
374,11
375,11
376,11
377,10
378,9
379,6
380,9
381,9
382,9
383,9
384,11
385,9
386,6
387,8
388,12
389,6
390,9
391,8
392,6
393,7
394,9
395,4
396,7
397,4
398,4
399,9
400,7
401,4
402,4
403,4
404,4
405,7
406,4
407,4
408,4
409,12
410,7
411,9
412,12
413,8
414,12
415,11
416,6
417,6
418,6
419,6
420,4
421,4
422,4
423,7
424,12
425,11
426,8
427,11
428,10
429,7
430,7
431,7
432,7
433,11
434,7
435,10
436,9
437,9
438,7
439,9
440,9
441,8
442,6
443,7
444,9
445,6
446,11
447,5
448,10
449,5
450,4
451,5
452,13
453,5
454,4
455,4
456,4
457,4
458,5
459,6
460,12
461,11
462,12
463,8
464,7
465,8
466,7
467,7
468,7
469,8
470,7
471,8
472,7
473,12
474,12
475,7
