Order,Length_1,Length_2
1,9,
2,7,
3,11,
4,9,
5,9,
6,9,
7,7,
8,7,
9,7,
10,3,
11,6,
12,9,
13,8,
14,6,
15,3,
16,3,
17,3,
18,6,
19,3,
20,6,
21,9,
22,9,
23,8,
24,4,4.0
25,9,
26,9,
27,9,
28,7,
29,7,
30,8,
31,10,
32,8,
33,10,
34,7,
35,3,
36,6,
37,10,
38,3,
39,6,
40,3,
41,3,
42,6,
43,3,
44,3,
45,9,
46,6,
47,3,
48,3,
49,3,
50,6,
51,3,
52,6,
53,8,
54,9,
55,9,
56,9,
57,9,
58,9,
59,7,
60,6,
61,7,
62,6,
63,9,
64,7,
65,7,
66,6,
67,7,
68,7,
69,7,
70,8,
71,6,
72,3,
73,3,
74,3,
75,6,
76,3,
77,6,
78,11,
79,3,
80,10,
81,9,
82,11,
83,9,
84,10,
85,3,
86,10,
87,8,
88,3,
89,3,
90,3,
91,3,
92,3,
93,3,
94,3,
95,8,
96,3,
97,3,
98,3,
99,3,
100,7,
101,3,
102,11,
103,11,
104,7,
105,9,
106,3,
107,3,
108,6,
109,3,
110,6,
111,3,
112,6,
113,3,
114,12,
115,3,
116,7,
117,6,
118,6,
119,3,
120,7,
121,10,
122,10,
123,3,
124,10,
125,3,
126,3,
127,3,
128,3,
129,3,
130,7,
131,3,
132,3,
133,4,4.0
134,4,4.0
135,3,
136,3,
137,3,
138,7,
139,3,
140,3,
141,11,
142,3,
143,4,4.0
144,3,
145,7,
146,7,
147,3,
148,3,
149,3,
150,7,
151,3,
152,3,
153,3,
154,3,
155,3,
156,7,
157,3,
158,3,
159,9,
160,6,
161,11,
162,8,
163,11,
164,3,
165,7,
166,3,
167,3,
168,7,
169,3,
170,3,
171,3,
172,3,
173,3,
174,3,
175,3,
176,3,
177,11,
178,3,
179,3,
180,3,
181,3,
182,3,
183,3,
184,3,
185,3,
186,10,
187,3,
188,3,
189,7,
190,8,
191,3,
192,7,
193,3,
194,3,
195,8,
196,3,
197,6,
198,7,
199,8,
200,7,
201,6,
202,8,
203,11,
204,3,
205,3,
206,3,
207,7,
208,3,
209,3,
210,3,
211,3,
212,3,
213,3,
214,3,
215,8,
216,3,
217,3,
218,3,
219,3,
220,3,
221,3,
222,3,
223,8,
224,10,
225,10,
226,7,
227,9,
228,3,
229,6,
230,3,
231,3,
232,9,
233,3,
234,4,4.0
235,4,4.0
236,3,
237,8,
238,3,
239,4,4.0
240,3,
241,7,
242,7,
243,3,
244,3,
245,3,
246,7,
247,3,
248,9,
249,10,
250,9,
251,8,
252,10,
253,12,
254,8,
255,7,
256,3,
257,3,
258,3,
259,7,
260,3,
261,3,
262,3,
263,3,
264,3,
265,3,
266,3,
267,11,
268,3,
269,3,
270,3,
271,3,
272,3,
273,3,
274,3,
275,12,
276,11,
277,3,
278,11,
279,7,
280,8,
281,10,
282,7,
283,7,
284,3,
285,6,
286,13,
287,3,
288,3,
289,3,
290,3,
291,3,
292,3,
293,3,
294,3,
295,3,
296,11,
297,6,
298,4,4.0
299,9,
300,7,
301,9,
302,7,
303,7,
304,12,
305,9,
306,9,
307,4,4.0
308,4,4.0
309,10,
310,7,
311,6,
312,6,
313,6,
314,10,
315,6,
316,4,4.0
317,4,4.0
318,11,
319,8,
320,8,
321,8,
322,5,
323,5,
324,8,
325,10,
326,5,
327,5,
328,6,
329,9,
330,9,
331,5,
332,10,
333,5,
334,6,
335,9,
336,6,
337,5,
338,8,
339,5,
340,10,
341,6,
342,6,
343,5,
344,8,
345,10,
346,7,
347,6,
348,8,
349,6,
350,6,
351,6,
352,10,
353,7,
354,8,
355,9,
356,11,
357,8,
358,8,
359,6,
360,6,
361,6,
362,6,
363,6,
364,6,
365,8,
366,6,
367,8,
368,6,
369,6,
370,6,
371,6,
372,8,
373,6,
374,6,
375,6,
376,6,
377,4,4.0
378,4,4.0
379,11,
380,6,
381,6,
382,9,
383,6,
384,6,
385,6,
386,10,
387,9,
388,6,
389,4,4.0
390,6,
391,7,
392,7,
393,6,
394,6,
395,6,
396,6,
397,7,
398,6,
399,7,
400,6,
401,6,
402,4,4.0
403,4,4.0
404,7,
405,6,
406,7,
407,6,
408,7,
409,6,
410,6,
411,8,
412,6,
413,8,
414,6,
415,6,
416,7,
417,9,
418,11,
419,7,
420,7,
421,7,
422,7,
423,6,
424,6,
425,6,
426,6,
427,6,
428,6,
429,4,4.0
430,4,4.0
431,6,
432,8,
433,12,
434,8,
435,7,
436,12,
437,9,
438,8,
439,13,
440,4,4.0
441,4,4.0
442,11,
443,8,
444,11,
445,11,
446,6,
447,6,
448,7,
449,6,
450,6,
451,6,
452,6,
453,4,4.0
454,4,4.0
455,4,4.0
456,6,
457,6,
458,6,
459,5,
460,8,
461,5,
462,8,
463,8,
464,8,
465,5,
466,10,
467,10,
468,6,
469,12,
470,10,
471,10,
472,6,
473,6,
474,8,
475,6,
476,6,
477,6,
478,6,
479,7,
480,8,
481,7,
482,13,
483,7,
484,7,
485,3,
486,6,
487,3,
488,6,
489,9,
490,6,
491,4,4.0
492,4,4.0
493,3,
494,8,
495,6,
496,4,4.0
497,3,
498,7,
499,8,
500,3,
501,7,
502,3,
503,8,
504,3,
505,3,
506,8,
507,3,
508,3,
509,11,
510,3,
511,7,
512,3,
513,3,
514,3,
515,7,
516,12,
517,6,
518,6,
519,6,
520,3,
521,3,
522,3,
523,6,
524,3,
525,6,
526,6,
527,3,
528,7,
529,7,
530,3,
531,7,
532,7,
533,4,4.0
534,3,
535,3,
536,7,
537,3,
538,3,
539,3,
540,3,
541,8,
542,3,
543,3,
544,4,4.0
545,4,4.0
546,8,
547,3,
548,3,
549,3,
550,3,
551,7,
552,3,
553,8,
554,3,
555,3,
556,3,
557,7,
558,4,4.0
559,4,4.0
560,7,
561,3,
562,3,
563,3,
564,7,
565,3,
566,3,
567,7,
568,3,
569,3,
570,12,
571,3,
572,3,
573,3,
574,3,
575,12,
576,3,
577,7,
578,8,
579,3,
580,3,
581,3,
582,7,
583,7,
584,3,
585,7,
586,3,
587,7,
588,3,
589,12,
590,4,4.0
591,12,
592,3,
593,6,
594,3,
595,3,
596,3,
597,6,
598,4,4.0
599,4,4.0
600,4,4.0
601,3,
602,3,
603,3,
604,6,
605,13,
606,4,4.0
607,4,4.0
608,3,
609,7,
610,7,
611,3,
612,3,
613,3,
614,7,
615,11,
616,3,
617,11,
618,3,
619,9,
620,3,
621,3,
622,6,
623,11,
624,7,
625,3,
626,7,
627,5,
628,5,
629,9,
630,10,
631,9,
632,6,
633,9,
634,6,
635,6,
636,10,
637,11,
638,10,
639,5,
640,5,
641,5,
642,6,
643,5,
644,6,
645,6,
646,7,
647,7,
648,5,
649,9,
650,5,
651,5,
652,6,
653,5,
654,9,
655,6,
656,7,
657,6,
658,6,
659,5,
660,5,
661,10,
662,11,
663,10,
664,11,
665,7,
666,6,
667,10,
668,7,
669,7,
670,6,
671,10,
672,10,
673,12,
674,6,
675,6,
676,11,
677,7,
678,6,
679,10,
680,6,
681,7,
682,7,
683,7,
684,9,
685,10,
686,6,
687,6,
688,7,
689,6,
690,7,
691,5,
692,8,
693,5,
694,5,
695,11,
696,5,
697,5,
698,10,
699,5,
700,6,
701,9,
702,5,
703,6,
704,5,
705,6,
706,12,
707,11,
708,13,
709,11,
710,7,
711,7,
712,9,
713,7,
714,7,
715,7,
716,11,
717,12,
718,5,
719,5,
720,9,
721,5,
722,10,
723,10,
724,10,
725,12,
726,5,
727,5,
728,11,
729,5,
730,5,
731,8,
732,5,
733,12,
734,5,
735,11,
736,12,
737,7,
738,6,
739,8,
740,11,
741,10,
742,3,
743,3,
744,3,
745,3,
746,3,
747,3,
748,3,
749,10,
750,12,
751,12,
752,10,
753,11,
754,12,
755,3,
756,3,
757,3,
758,3,
759,7,
760,7,
761,3,
762,11,
763,11,
764,10,
765,10,
766,11,
767,12,
768,11,
769,3,
770,3,
771,3,
772,3,
773,3,
774,3,
775,9,
776,3,
777,3,
778,5,
779,3,
780,3,
781,9,
782,9,
783,8,
784,11,
785,3,
786,9,
787,3,
788,3,
789,3,
790,3,
791,3,
792,3,
793,11,
794,10,
795,12,
796,3,
797,8,
798,10,
799,11,
800,12,
801,3,
