Order,Length_1
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,9
12,3
13,3
14,8
15,4
16,4
17,3
18,3
19,4
20,8
21,3
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,4
36,8
37,3
38,3
39,3
40,4
41,4
42,3
43,3
44,3
45,3
46,8
47,4
48,4
49,3
50,3
51,4
52,8
53,3
54,4
55,4
56,4
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,3
71,8
72,4
73,4
74,3
75,3
76,4
77,8
78,3
79,4
80,7
81,7
82,7
83,7
84,7
85,5
86,10
87,8
88,4
89,5
90,4
91,5
92,5
93,4
94,4
95,10
96,5
97,4
98,4
99,5
100,8
101,4
102,7
103,7
104,7
105,3
106,4
107,4
108,3
109,3
110,8
111,4
112,8
113,4
114,3
115,4
116,12
117,6
118,6
119,3
120,3
121,3
122,3
123,4
124,3
125,3
126,3
127,4
128,3
129,3
130,3
131,4
132,3
133,11
134,9
135,4
136,3
137,3
138,3
139,4
140,3
141,3
142,4
143,6
144,4
145,7
146,10
147,4
148,4
149,5
150,12
151,5
152,5
153,4
154,5
155,5
156,10
157,4
158,5
159,7
160,7
161,7
162,7
163,7
164,5
165,9
166,5
167,5
168,11
169,5
170,5
171,5
172,4
173,5
174,5
175,5
176,5
177,9
178,5
179,4
180,5
181,5
182,5
183,5
184,4
185,5
186,7
187,5
188,4
189,9
190,3
191,3
192,3
193,4
194,3
195,3
196,4
197,7
198,7
199,7
200,7
201,7
202,3
203,3
204,3
205,3
206,3
207,3
208,4
209,3
210,3
211,3
212,3
213,4
214,3
215,9
216,3
217,4
218,3
219,4
220,3
221,4
222,3
223,7
224,10
225,6
226,10
227,3
228,3
229,3
230,4
231,3
232,3
233,4
234,8
235,8
236,4
237,3
238,4
239,11
240,4
241,10
242,7
243,5
244,4
245,5
246,7
247,4
248,6
249,7
250,7
251,7
252,7
253,6
254,7
255,7
256,5
257,5
258,5
259,9
260,4
261,5
262,5
263,5
264,5
265,4
266,5
267,9
268,5
269,4
270,5
271,4
272,5
273,4
274,5
275,7
276,3
277,4
278,6
279,7
280,6
281,7
282,6
283,7
284,3
285,3
286,3
287,4
288,3
289,4
290,3
291,4
292,3
293,4
294,3
295,4
296,3
297,10
298,8
299,3
300,3
301,3
302,3
303,3
304,3
305,3
306,3
307,10
308,8
309,3
310,3
311,3
312,7
313,3
314,3
315,10
316,8
317,8
318,11
319,9
320,10
321,12
322,7
323,8
324,9
325,10
326,7
327,7
328,9
329,8
330,10
331,7
332,7
333,7
334,7
335,7
336,7
337,7
338,7
339,7
340,7
341,7
342,10
343,7
344,8
345,7
346,5
347,5
348,3
349,5
350,3
351,5
352,3
353,3
354,3
355,3
356,3
357,7
358,3
359,5
360,3
361,5
362,3
363,5
364,3
365,8
366,3
367,13
368,13
369,7
370,3
371,3
372,3
