Order,Length,Rule_1,Rule_2,Rule_3,Rule_4
44,3,(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),,
45,3,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),,,
46,6,(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x <= 0.5) & (top-right-square-o <= 0.5),,,
47,3,(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),,,
48,3,(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),,,
49,3,(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),,
50,3,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),,,
51,3,(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),,,
52,5,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5),,,
53,3,(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),,,
54,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b > 0.5) & (top-middle-square-o <= 0.5),,
55,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),,,
56,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),,,
57,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b > 0.5) & (top-middle-square-o <= 0.5),,
58,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),,,
59,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b > 0.5) & (top-middle-square-o <= 0.5),,
60,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b > 0.5) & (top-middle-square-o <= 0.5),,
61,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),,,
62,4,(middle-middle-square-o > 0.5) & (top-left-square-x > 0.5) & (top-right-square-x > 0.5) & (top-middle-square-x > 0.5),(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b > 0.5) & (top-middle-square-o <= 0.5),,
