Row Number,Average Rule Length
2,"3,0"
5,"5,0"
6,"5,0"
7,"3,0"
8,"3,0"
11,"4,0"
12,"3,0"
13,"3,0"
15,"4,0"
16,"3,0"
17,"4,0"
18,"4,0"
19,"3,0"
20,"6,0"
21,"3,0"
22,"3,0"
25,"3,0"
26,"3,0"
31,"3,0"
35,"5,0"
36,"3,0"
37,"3,0"
38,"3,0"
39,"3,0"
47,"3,0"
50,"3,0"
51,"4,0"
52,"3,0"
53,"3,0"
54,"5,5"
57,"6,0"
58,"3,0"
59,"3,0"
60,"3,0"
62,"5,0"
65,"3,0"
67,"3,0"
68,"3,0"
69,"3,0"
72,"4,0"
75,"3,0"
77,"5,0"
80,"4,0"
81,"3,0"
82,"6,0"
85,"3,0"
89,"3,0"
90,"3,0"
91,"3,0"
92,"3,0"
94,"5,5"
95,"5,5"
97,"3,0"
98,"3,0"
99,"6,0"
102,"3,0"
103,"4,0"
104,"3,0"
105,"3,0"
107,"3,0"
108,"5,5"
109,"4,0"
110,"6,0"
112,"3,0"
114,"3,0"
115,"3,0"
116,"3,0"
117,"6,0"
123,"3,0"
126,"7,0"
127,"7,0"
128,"4,0"
129,"6,0"
131,"3,0"
133,"3,0"
134,"6,0"
137,"3,0"
138,"5,0"
141,"3,0"
145,"5,5"
147,"6,0"
148,"5,0"
